PromEnh,PromOnly
FAM83F,RBM14
L3MBTL4,BOLL
PROSER2,MAFB
ZNF469,MMP2
NLN,TRMT2B
HPS1,TPBG
SRL,ATP2A2
BIK,CTPS2
ARHGEF10,PARP15
NEK10,BAIAP2L1
PTF1A,RHOBTB1
TBL1X,HHIP
FGD4,MORC1
ZNF727,PDE1C
BANK1,RGS17
CYTL1,RPGR
ACOXL,RSPO4
FBLN1,C1orf115
ZNF92,S100PBP
ERI1,SLC2A5
MAP3K15,ISL1
SCOC,NUP160
FGFR1OP2,HIST1H2AD
GATA4,P2RY1
ITGAX,FMNL2
PPP3R1,CLRN1
PLA2R1,HIST1H4G
ECT2,BRCA2
USP22,TPP2
NOSTRIN,CYBRD1
NDUFA10,C17orf107
PPP3CA,MAGED1
TMEM242,NRSN2
TRAM2,GDF7
MCPH1,SPIN4
UMPS,RFPL4B
GTPBP10,TAB3
DMRTA2,MYH10
MAPK10,SUV39H1
SLC45A3,ZFAND3
CKLFSF6,RGS22
LIPH,PLCB1
CCDC40,RCVRN
AHR,HSPB8
ARL4C,YBX3
KIZ,ROBO2
LTA4H,UBE2Q2
CYFIP1,SREK1
SPAG17,CAPNS1
FBLN2,HTN3
CERK,DLGAP1
GMDS,DCUN1D2
FAM13A,NOD2
ERICH1,WARS
AUH,LHFPL1
COPB1,ACTR3C
ETS1,LGALSL
GUCA2B,MNDA
DUSP22,FRMD4B
JMJD1C,NANOG
RAPGEF5,PKIG
NFE2L3,RPL19
ICE1,MPDZ
TXLNB,ABCB6
ZNF236,CXXC1
YWHAG,APOO
CXCL17,TIMP3
KSR1,RSAD2
FILIP1L,PIGT
B3GNT2,CAP2
RAPGEF6,SOX12
DCBLD2,KRTAP4-7
CFAP46,CYP2F1
EVA1B,FAM122B
IL19,SLC25A48
SLC39A10,KRT2
GALNT7,BNC2
CYP24A1,KCNH2
EDNRB,TTC31
DSEL,AP5Z1
ARHGEF3,NHSL1
MKX,MLF1
PARP8,SLC27A6
FAM110C,GFOD1
PSMA1,DES
C7orf31,C12orf75
CEP126,BLOC1S2
CBR4,PGPEP1L
SGTB,ZBBX
MYO1B,PIEZO2
CR1L,LCE1F
NEDD1,IDH3G
SEMA4D,EIF5A
DUSP5,ZNF431
NETO1,ART1
DAAM1,TCP11L1
FCHO2,GNAL
RP5-862P8.2,C1S
IRAK1,CD8B
CABLES1,AMBP
GDF7,UBC
WASF3,NKAP
EQTN,LTBP3
WBSCR28,GCOM1
CUL3,OTULIN
FLJ12525,PRR15
P2RY1,ZNF114
CDC20B,PTPRM
SEC62,LRP8
TRIQK,ATP5B
DPF3,AQP12A
SLC37A1,VDAC3
THEGL,CYP4X1
POLR1A,FLJ10374
UBL3,SUN5
EEA1,NPEPL1
PLCXD1,KCNMA1
RGL4,ARMC3
TMEM2,CETN1
PDS5A,GFRA1
MCTS1,SCML4
