PromEnh,PromOnly
PRKAG2,IFITM5
SALL4,HIST1H1A
UTRN,HRH2
IGF1R,GCNT1
IRF2BP2,CARD10
PRDM8,ANXA2
FLRT2,RAB11FIP3
KIFC3,APC2
ATXN7L1,MTSS1
KIAA0513,SLC12A5
ADSL,LGALS1
CDH23,MFAP1
AKT3,FABP7
CBS,CST3
SH2B2,PLK2
SFXN3,FAM169A
TSPO,ZNF577
TXNDC2,TCEA3
TDGF1,MARCKS
C10orf90,PTPRM
LRTM2,PRKCG
LRRN4,JAKMIP2
KCNMA1,ABAT
CMBL,PLD5
LAMB1,SLC17A6
USP6NL,UBXN6
ABCD3,BIVM
TGFB3,SH3BP4
HHAT,DLC1
PRKCH,LRRN4CL
TACC2,SLC9A3R2
TNFRSF11A,EGFLAM
AKAP13,KLK8
TRPM1,CD109
ABCA4,ACBD4
C2orf91,IDUA
ALDH1B1,SH2D7
FAM151A,GYPC
VAPA,PSD
NTMT1,FRK
ID4,AHNAK2
PRR5L,C11orf63
GPR143,DAB2
ARHGAP42,TSHZ1
BANP,UBXN10
HIF1A,ME3
SIRPA,HOXA4
TFB1M,SERPINB6
RGMA,GFY
C9orf129,SMAD7
KCNIP1,RIN3
DUSP5,NDRG1
SYNJ2,AEBP1
MKRN1,LINGO1
UACA,KCTD12
IGFBP7,FMO1
SEPT9,CACNG8
ARHGEF37,C1orf127
JAKMIP3,PTPRJ
HS3ST3A1,TBXAS1
BTBD19,NR1D1
USP44,IL4I1
JAG1,BDH1
AKR1D1,RARA
TMEM132B,ST8SIA3
PPP1R15B,CHD3
ORAI2,HOXB4
RAB36,DSC3
SEPHS1,PDE3A
ITGA3,CTF1
TMEM44,ATP10A
MAML3,PSMB10
GSN,DRAM1
PINX1,ATP6V1F
PAQR5,ZNF668
ATP5G2,FOSL1
BICC1,SETBP1
N4BP3,CNTN1
GRAP2,TPM1
ERRFI1,OAF
OTULIN,GDAP1L1
KRT80,FSHR
CDK18,GALP
COX4I1,ADAMTS14
CLLU1,SMIM6
H6PD,PHLDA3
ASAP2,PCDH8
CBLN1,ERRFI1
INHBA,SOX6
GLT1D1,AGPAT3
BRI3BP,CDH6
PLCG2,SLC25A45
DHX37,PAH
FOXO6,SH3BP2
ADGRA2,ZBTB47
PDE4D,ATP13A2
LRRC4,LARGE
OLFML2A,PDLIM4
GPR19,TRIM62
KIAA0930,PCGF5
BCL11A,SEPT9
CCDC96,STON2
ATP6IP2,FZD1
ZDHHC7,IDH2
LPIN1,EMB
WNT5B,NRG1
FBN1,GUCY1A3
KIF5C,TMEM171
CTBP2,SLAIN1
PRKCA,ETS1
SLC25A37,BCAS1
MARCH6,COL9A1
ACTR2,ZEB1
VGLL4,REEP4
PSMD6,PLP2
USP2,TSPEAR
NAP1L4,RIN1
RISC,ARHGEF3
TUBB2B,KLF9
HS3ST3B1,LY6K
C16orf78,PRR16
BTBD17,NFIL3
RPL31,SPIRE1
SARDH,CCDC57
DCAF4,CLTB
SYNC,EPHA1
PLCD3,FUT9
TFEB,YAF2
WNT7B,JPH4
AMICA1,HDC
NOC4,CDH11
NNMT,XKR7
CACNG5,CATSPER4
CECR2,LRCH1
SLC12A7,FOXA3
ZNF281,KCNIP2
AATK,EMP3
CLMN,NABP1
MYO10,MPZL3
SH3TC1,GJC3
MXRA7,BTNL8
HEATR3,ARL4C
FHAD1,LIN28B
PGM1,MAOA
BMP4,SOX10
POMP,MET
ISL1,HOGA1
HSPG2,SEMA7A
RAP1GAP,NT5DC3
SMAD6,IL31RA
DKK3,ZHX1
PRKCE,ACPP
FEM1B,SSH3
OR1A1,PTGER4
ANGPT1,STOML1
ACOT11,MCFD2
PLEKHA6,ITGA7
PARD3B,MARVELD3
NOX5,PROM2
RASL12,AMPD2
VAV2,CDH9
CLCN4,GLTSCR1L
GADD45B,SULT1A2
IL6,PCYT1B
ANP32A,BHLHE41
ADAMTS14,ZNF441
SETD3,CRIP3
ATP6V1C1,KIAA1217
MFSD12,CPA4
RUNX1,PIEZO1
SYNDIG1L,CAMKV
CACNG4,LPAR1
FOXG1,SLC22A4
IGFBP3,SH2D3A
BZRP,SSC5D
MT2A,ATP2C1
BDKRB2,GALNT14
LARP1,TACC2
BEND3,SELV
BTBD16,MUC3A
SPACA7,KLHDC1
NACA2,SELM
VASN,PCDHGC3
C10orf11,MVP
MFHAS1,CPQ
PTP4A3,EPHA6
PRR34,TANC1
GPR68,TRIM72
ACBD4,KDELC1
SSC4D,PLP1
FOXP1,SSH1
SH3PXD2B,GAS2L1
FOXK1,MYOZ3
DSCR4,KLF11
TBC1D9,NUDT10
MXRA8,TLCD2
PTCH1,MTMR7
SEMA5A,GRAMD1B
KRTAP10-12,C15orf62
GDF7,RAPGEF5
TMEM51,MDFI
ELF4,NFKB2
TM9SF2,RARG
BEGAIN,FBRS
TIMM22,NRCAM
EVA1B,TMEM100
JPH3,SUSD1
SALL2,HSBP1L1
SFRS8,RAB11FIP5
VAMP3,OSBPL3
