PromEnh,PromOnly
ALPK1,DPYSL2
SLC39A10,SCNN1A
EIF2AK3,ADD2
RNF114,SLC39A9
MAT1A,GNB5
FAM63B,ARHGEF26
AUH,EEF2K
CLUH,RAX
TCEB3,S100A16
TMEM206,CHML
CIITA,LUC7L2
MT4,CD63
ERICH1,CDKN1C
KNS2,ZBTB7B
FNTB,ALS2CL
SNAPC5,USP18
CACNB4,THBS2
FASLG,NOS3
STON1,BMP8A
NDUFAF7,SRR
EGR2,NDC80
DYRK2,DET1
CCDC141,ARL5A
GPCPD1,CCDC67
TRIB2,VPS37B
ITPR2,MAP2
TNFSF11,KCNQ5
DAPP1,TM9SF1
TRIM52,ANK1
PDGFRA,MICAL2
CHD1,CENPH
ASPHD2,POMP
ARNTL,DTNA
XXYLT1,TMEM11
DGCR2,NINJ2
JCHAIN,MMS19
CGNL1,MIEF2
CCNB2,PLS1
KPNA1,THAP8
SYNGR1,SLC7A6
MED26,FARS2
TBX21,POTEJ
MUC20,VAMP1
BCL2,CD226
PGA5,POLE3
PDIA4,BZW1
C18orf8,S100A2
KIAA2026,MRPL52
IPO7,GAL3ST3
AKAP11,KDM5D
NDUFAB1,MLIP
ARHGEF37,CHCHD10
WDFY2,PLXNB3
EIF3S3,IL1R2
FGD3,TGIF2
CELA1,SDC1
UBR5,NARS2
HS3ST1,DLD
ADRA2B,REEP1
TRIM74,ATP6V0A1
CRLF3,TM4SF20
SDCCAG10,PNPLA7
PRKAB1,PTGES3L
POLG,ZBED5
LRRC28,CRIP1
GADD45GIP1,LEO1
RAET1L,PUSL1
VDR,IL4R
NEDD4L,NFE2
TNFRSF13B,STOML2
P2RY8,MBOAT2
SLC26A9,CALN1
WNK1,RAB39A
COMTD1,ITPA
CLEC4D,DPEP3
EDN2,IMPDH1
TARBP1,NME4
DUSP4,MRPS2
ARHGEF15,EXOC7
CDK5RAP2,DPP6
SNX10,FOXJ2
CDYL2,TLE3
FAM69B,CYP8B1
KLF13,ETV4
HRCT1,NFIX
PTK2B,FHL2
HIATL1,RELT
DGKD,NFIB
RPL6,PTGER1
C14orf93,GJB6
AMD1,ZNF785
RABAC1,PRKCZ
GDI2,PPP1CA
BAK1,CCNT1
ESRP2,FAM132B
ANP32B,UBE2V1
TREM1,RUBCN
LRRC63,NIF3L1
SETD2,SLC9A3R1
ALOX5AP,ZFPL1
ORC2,NELFB
FAM19A5,SCTR
CLNK,RPUSD3
PRR18,BGLAP
TIAL1,TESK1
KANSL1,ISG20
GALNT2,ADAMTSL2
GNPI,DRD2
NIPBL,SAMD4A
ZNF212,MGAT3
MTERF2,PLEKHN1
ETS1,ACOX1
ZNF16,NR4A2
RAB1A,UBP1
HAAO,HTR3A
RPIA,PRIMPOL
MRPL35,BHMT
GLRX5,LIMK1
KBTBD6,GCNT2
FAM122A,AMDHD1
PRKCH,RNF111
BCL7A,ARHGAP10
FAM46B,BRAP
SERTAD2,FBXW7
RAB8B,ZFR
EHD3,TMEM72
NDUFA12,RAPGEF1
KLF4,ZIC1
WAPL,NEU3
APBB1IP,SUGT1
UBE2V1,STK24
ADAM7,GRID2
RIPK4,MCTP2
TNN,SMC2L1
PGPEP1L,ZNF668
HMBOX1,FAM216B
MRVI1,HSF2BP
BRD1,RPS3A
FAM107B,LPAR6
CHST2,RCVRN
SMAD7,PSMC5
RAPGEF2,FAM63B
ADAM17,CTLA4
ICT1,CCDC88C
ATP12A,LRRC61
ATG101,C8orf48
TCP11L2,SH2D3C
NFX1,EGLN3
CELSR1,ASUN
GRB14,RANBP2
AMN,SPP2
PCDH9,PHC1
WNT8B,SLC46A3
GDPD1,C1RL
SNTA1,EPDR1
WBP1L,MFAP4
PRNP,APEH
MARCH1,SERPINA9
NINJ2,CMTM2
TAF1B,MAP7
C2orf57,TSHB
KL,SERPINB3
KDM6A,C1QL4
GRK4,TRAM1L1
RPS15A,LYPD6B
PRDM1,CCNB1
CR1,RERG
BIRC6,MYL2
TRAK1,CNTNAP3
MEGF9,RAB1B
ABHD12B,KCNC2
HSD17B4,GAS8
TNFAIP6,THBD
PISD,ABCG5
DISC1,SUMO4
EPHA4,RNF114
C21orf33,SYTL5
AGTPBP1,TRAFD1
P2RY10,FLRT2
N4BP2,HTT
TCF12,DHX38
EMB,LHCGR
TTLL7,DPAGT1
RAB2A,CSHL1
U2SURP,TSSK2
SLX1B,ABCG4
IL10RA,SYTL2
CTD-2313N18.7,NIN
RFTN1,CCDC102A
GPR55,RINL
FBXW7,CHPT1
TGM2,C6orf89
ECSCR,RP9
VAV2,TACC2
CDYL,NPB
ANKRD10,TMEM25
