PromEnh,PromOnly
PKD1L1,OMG
TMCC1,GSPT2
ENG,CHI3L2
NBAS,RRH
WWC1,MCFD2
HS1BP3,GFOD2
POU3F3,FIGF
KIAA0319L,GOLGA8K
GPR78,TRPM3
MFAP3,AIF1
GARNL3,SIGIRR
SOX5,GLYCTK
TIAM1,ST3GAL1
INO80C,KIF26B
SNAPC1,FSCN1
C1orf100,BMF
GGT5,MUM1L1
CAPS,COL12A1
AZIN1,TMCC1
SORBS2,TNRC6C
C10orf105,S100A13
KIF26A,NEURL1
SSR1,ABHD15
TTC7A,GPX8
UBE2V2,HSBP1L1
TRAF3IP3,MYRF
PDE4B,MYBPC2
RAD23B,RELT
RHOH,MALL
CCSER2,PFKM
MTMR10,NKX2-3
CLUH,PAMR1
PTPRJ,HIC1
UNC93A,CSNK1G3
MAP2K6,CALCRL
GAP43,SPDYE2
HES3,CLEC6A
BACH2,KCNT2
ETV1,RHOXF2
RND3,TSPAN14
AKAP13,DLX4
MTSS1L,CDH11
DNER,PREX2
TRHDE,OLFML1
LPIN1,LRRC8B
CTSC,GPR34
ZBTB40,SLC9C1
TENM3,ROBO4
C1orf168,QPCT
ODF3L1,CT45A3
CARS,SMARCA2
PPARD,EDDM3B
C1GALT1,KCTD12
FHDC1,ADGRG3
ST8SIA2,L1TD1
C5orf49,LRIF1
KANK4,SPATC1
CARD9,WDR24
GDAP1,CUZD1
WWC3,ANKRD17
LAMB3,SLC2A14
DUSP1,SH2D5
IAH1,C6orf223
HSPB7,SI
BDKRB1,EZH2
SH2D4B,RIMS2
VIMP,ISX
SC5DL,ERVFRD-1
PGC,PITX2
WNT11,CYFIP1
GPR18,RASGRF1
BAIAP2,ANXA11
LMO4,KLHL5
ATXN7,IRX6
TJP1,SLAIN1
ANO6,CCDC183
HSPA8,HIST1H4B
RELT,C16orf78
H19,CSNK1G1
ORM1,ATAD1
C1orf105,MC1R
FAM110B,CTF1
PLPP1,KIAA0226L
JAKMIP2,MPG
NRP2,DCBLD1
BEND3,TRAF1
MED27,MUC3A
ARL4C,ADGRL3
EPB41L4B,MTA3
EGFR,LRRC52
LRRN3,BTBD19
PRDX6,TMIGD2
TLE4,VGLL1
C1orf127,FRMD8
TENM2,ITGA2
FAM50B,SEMA3A
FGF1,MSH2
TMEM163,IL1RAPL1
CAMK1G,IGFBP3
SPATS2L,FAP
PARD6B,PLEK2
KIAA0513,MEOX1
TRIM62,MMP28
GTDC1,NBPF15
MBOAT1,PRKACB
LRIG2,XRCC4
GPD1L,KIAA0408
SHROOM4,LMO3
GNAQ,TMEM213
FBXL18,SPP1
PRKCQ,PPP1R1B
SDC3,INADL
RIPK1,HTR2B
RMI2,CRYBB1
GLCE,HAS3
PTPRU,RBBP9
TMEM38B,MYOZ3
ATAD1,AKAP4
FOXI3,EFEMP2
ZNF320,NUP93
TNFAIP6,ELMSAN1
C1QTNF1,SLCO1B1
ZNF644,SLC12A4
OTX1,FAM214A
NKD1,TBC1D30
SPOCK1,TMEM132E
RASSF8,SLC5A3
SMARCA2,CALML5
SELPLG,ISM2
ZFYVE26,UGT2A3
IRS2,SSX4
CCNI2,UNC13D
GNLY,DLG1
DISP1,ALOX5AP
ACSL1,KIAA0040
LMNB2,ENTPD1
DLX1,NCOA5
TEX37,ABAT
ZBTB18,C10orf105
ADARB2,MCAM
LCTL,FURIN
NFIB,PNISR
PKDCC,USP7
GPR55,ACSL5
HIST2H3A,C2orf54
NDFIP2,TBCEL
TNP1,ACKR4
SPAG9,MXRA5
TBC1D9,SCARF2
HTATIP2,KCNS2
ASB6,MKX
F11,P2RY2
USP28,EPB41L3
BDH1,BCAS1
GINS1,MAGED1
RPL21,ST6GALNAC2
COL1A1,TMEM95
TMEM9,MSX2
CASZ1,TRIM63
MAFK,FAM110D
ARHGEF37,MICALL1
FAM105A,MYBL2
DPYSL3,CP
SLA,JARID2
TECPR1,LIMS3
LACTB,CPA1
ANKRD9,CD36
THBS2,OTUD6B
ADRA1B,CCDC138
MAPKAP1,CPEB3
JADE1,CSN1S1
ITGAE,LPAR6
NINL,EPHX1
TMEM151B,RAB3IP
RYR3,GATA2
ABLIM1,CTNNA2
PAPOLG,MGST1
ACTN1,PRKCH
TAF1B,WNT9B
TOM1L2,ADAMTS18
CA4,TEX14
PDE3A,ARHGAP24
SLC16A3,THBS2
SACS,CLK1
SLU7,MFSD12
FGF19,PTPRC
ALOX5AP,COL10A1
PCCA,WDR81
C20orf85,TRIM16
RAI1,MYL9
REEP3,EPS8L2
RFK,ADH1B
NPSR1,GEMIN2
TAMM41,KLHL30
KNSTRN,ATP6V0A4
USP44,GPR176
C12orf45,INF2
DCP1B,RFX7
DRD3,GLIS3
MAT1A,ZEB2
HTR1D,GRAP
TBC1D22A,SCGB1C1
NTNG2,NMNAT2
EXOC2,CDYL
HIST2H4B,IFT80
CTNND2,CIDEA
MTTP,NIM1K
RPIA,TP53BP1
KCNK1,LRRC4B
TACSTD1,KCNMB2
SFRS8,GAL3ST4
ABL2,CRISP3
DOCK9,EXOC6
SAMD4A,IFI44L
ZBTB44,PABPC1L2A
GLRX5,HCLS1
BRI3BP,SIK1
GAN,KLHL13
CNIH3,BATF2
ZFAND6,SLC46A3
KLHL14,CCIN
KL,IL24
SLC30A10,COL11A2
TDRP,MTX3
ZNF730,BRINP3
GJB6,ACADL
IGLL1,FMO4
SLC9A3R2,PPP1R17
FZD3,C20orf141
PPP1CB,IL18BP
PECI,ASB4
HTR7,PPP1R3A
PDZRN3,FAM111A
POU5F2,ODF3
JMJD1C,SLC7A8
PDZK1,IZUMO1
ORAI2,GFI1
FAM180A,CACNB2
DPF3,OXR1
MYOZ1,HAND1
KCNMB2,HNMT
TMEM211,LSM6
DGKB,TFAP2A
PPP3CA,DISP1
COL16A1,KANK1
ERGIC1,SLCO1A2
RUNX2,PHLDB1
MMS22L,MLIP
ZFHX4,BIN2
RAPGEF2,GPBP1
NMNAT2,SLC26A7
KRBA1,KCTD1
PMP22,KCNN1
RASGRF2,TMEM203
TXLNB,EPAS1
MXRA8,UXS1
FAM76A,ELF1
L3MBTL4,PLCD3
SLC12A8,SNAI1
RCC2,GFY
TMEM72,ARNTL2
FLJ11160,PRDM6
COL4A2,ZSCAN26
GHRH,GUCY1A3
CD58,NPC1L1
SPRY1,KISS1
FAM160A1,PKIB
MCFD2,NDOR1
CRYGC,KLHL2
ANKRD2,NETO1
SERINC5,CARD6
