PromEnh,PromOnly
ACSL1,SIGLEC5
FZD1,POLD2
NDNL2,ASF1B
ZNF404,SPIN3
WLS,POLD1
CTDSPL,TCERG1L
PRICKLE2,PCDH15
TUB,WDFY4
RAD54B,IFT80
PADI1,ANKRD24
LRRC4B,ZNF337
CTSE,TBCD
RPL29,IFNA5
MAN1C1,SIRT6
FOXO3,CCDC168
TTC12,PCYT1B
PTGES,CIC
ADGB,ITGA8
GRP,RNF187
MAML2,ZNF524
AXIN2,LILRA1
TNRC6C,NUDT16L1
TRIB2,USMG5
RPTOR,ZNF787
HIPK2,SPX
TTC7A,MICA
MYLK,CD226
FOXP4,MYCT1
EDEM3,RHD
TRAF2,PYGL
NR1D2,GDI1
GTF2H5,HOXD9
RNPEP,ZFP64
FSCN1,NBPF1
MAPK8IP1,EIF3S4
RARG,P2RY12
NKD1,SLC12A9
H3F3B,GMFG
GRIK3,PROL1
LMF1,LOXL3
TAB2,MMP3
ARRDC3,WDR45
SLC44A5,PVRL2
RGCC,SLC25A5
STRIP1,CYLC2
ATP13A3,POC5
CEBPD,RPL5
EPC2,PRAMEF7
IKBKE,ZNF705G
PDE9A,SPACA5B
MATN2,MAGEA9
SCAF8,TPPP
PRKAR1B,ZBTB40
TMCC2,NCAPG2
C20orf85,FRAS1
ABCC4,ATRN
YY1,ZFC3H1
EEFSEC,IL33
KCNB1,TACC2
TNR,OTUD7B
CCDC85C,PRKCSH
ZNF540,ZFP2
EPB41L1,SLC39A6
FDX1,MTERF3
FBRSL1,FAM98C
TRIM62,CCRL2
ZNF362,CBARP
MAP1LC3B2,DMRT2
AATK,FBXL8
IYD,HTR2C
SLC9A1,DOK1
CAMK2B,BZW2
AMN,SIN3B
SLC45A3,SBNO2
BTBD10,FGFR2
IQCG,SLA
PROSC,TULP2
C1orf115,R3HDM2
OSBP2,PACSIN1
ST3GAL1,VPS37A
STRBP,CTGF
CACNA1H,GSK3A
CACNA1C,SCO2
HTATIP,KIAA1683
RXRG,RAN
PPP1R3G,COLEC11
ZNF521,GTPBP3
ZFP91,CATSPER2
SEMA5A,NOX1
P2RY6,EHBP1L1
CASP2,JADE2
TRAF3IP2,ARHGEF28
AQP2,DNTTIP2
GPR37L1,CLDN15
SOWAHC,LRP3
C1orf228,PAGE1
ZNF284,PLCZ1
ATF1,AQP9
DUSP10,GPR87
GRAMD3,PEX7
BCL2L14,ATXN3L
AFAP1L2,RFXANK
IGSF9B,WDR73
ARHGAP1,EDA2R
SLAIN1,CD1A
DRICH1,OGN
LIG3,RRP1B
TMEM9,MACROD2
KNSTRN,ALKBH7
RPA2,CXorf56
TNIK,SUMF2
