PromEnh,PromOnly
IRX1,PRMT8
HCN4,BID
PDLIM5,ITGA7
PANK3,C2orf81
PXYLP1,IMPG1
EBLN2,C21orf58
SLC6A6,ARHGAP27
DUSP4,KCNAB2
NHSL2,SPTBN5
EPHA3,SHC3
SYT13,ALK
PLPP3,THRSP
PIEZO2,SYBU
PRDM4,GEMIN8
TCRA,ASIC4
KCNRG,CFAP47
FCGR1A,NINJ2
SNX19,FAM20A
PCED1B,GPM6A
TIGIT,AKAP2
RMDN2,AASS
N4BP1,GOLT1A
CLVS1,PIP5KL1
MAGEF1,KRT19
FGL2,TMEM163
MAP4K3,MYH1
PECR,RTBDN
CAMK1D,ESRRG
WISP1,RASSF9
LMX1B,VEPH1
ALDH8A1,LGALS9B
TMEM169,TMEM59L
MEDAG,UPK1A
AKT3,LRRIQ1
SAMD4A,PPIP5K2
LIMCH1,CLEC18A
NR3C2,PTH
PSMD6,ERVV-2
DISC1,FBXO39
SLC8A1,FBXL16
RALB,KLK9
THSD4,TSPAN19
CDS1,LRP1B
LIN7C,ABI3BP
LINGO2,TDRD9
ALK,ATP13A3
NRP1,DCDC1
DUSP6,KRTAP5-8
MRPS31,PLAUR
SMYD2,HK3
NRBF2,EVA1A
IL15,RASSF5
CCKAR,TMCC2
SUCNR1,C2orf82
TLR3,DOK7
SHB,TP53AIP1
NUDT12,FAM187B
PIGPC1,NCOA1
FHDC1,CD164L2
C9orf152,TFF1
CT62,KCNJ13
GLDN,FRMD3
AMIGO2,AGTR2
TNFSF8,DENND2D
RAPGEF1,IGFL3
NDUFA10,PTPRC
ANO1,LYL1
KDSR,HS3ST4
CDC16,MUC5AC
UBAC2,TMEM105
MAP1LC3B2,FOXP1
PARP4,C19orf18
GRHL2,HIC2
RGS1,SERPINI2
CLIC5,PROC
PTPN14,LCP2
RAB11FIP4,RHOH
FBXL14,MUC5B
COL13A1,PPP2R2B
STAT1,PDPN
DOCK5,MYO7A
ARHGAP6,SERINC2
RGS20,MGLL
PPP1R15B,CSN1S1
MTERF2,TRIM17
PTP4A3,C3
EDEM3,IFITM10
FOSL2,HES2
DYRK2,RNASE8
C11orf58,FIBCD1
TNC,CDRT4
RARS,MYH4
ATAD1,SCRT2
SLC34A2,PLAT
LPL,SYTL4
PCDH9,CALHM1
FVT1,SLC26A7
PAG1,MYO7B
SLC25A15,SERPINA3
WDR5,PDLIM2
ST18,DPT
CCNG2,IL4
KNS2,PLIN1
EEPD1,IL12RB1
NAP1L4,FAM46D
CMTM8,ODF4
CKLFSF7,AGT
PLCH1,C1orf111
AUH,CAMK2N1
C2orf69,C4orf26
RAB11FIP2,SCGB1D1
TAF1B,R3HDM1
IL1RAP,SMIM17
CMTM7,CUEDC2
AIFM2,NLRP10
THADA,IL27
CDH6,CD96
MATN1,PKHD1L1
CERK,TPSG1
BTG3,ATP13A5
TUBGCP3,ATP6V0A4
FAM13A,TNFAIP8
SLC25A26,SEZ6L2
TBC1D22A,WNT10A
SRPK2,PLB1
SCARB1,DNASE2B
SCRG1,DLGAP3
GREB1L,C9orf173
SLC14A2,PALM
CUX1,EIF4E3
CLIP4,PPP2R2C
LGMN,PPP1R12B
CHST11,RSPO1
ETV5,MXRA8
SDC3,MPG
C2orf57,HTN3
GBX2,HNRNPA1L2
SMC3,ENPP3
UNC5D,SHISA9
YWHAQ,SLAIN1
CLDN1,COL20A1
TMEM185B,ANKRD17
ANK2,UPP2
FN1,TCEAL2
MYEOV,C5orf28
RAD23B,BANK1
PRKAG2,TGM5
B3GALT2,RNASE12
FAM46C,RGS8
PCDH18,TPRG1
WNT5B,MYL12A
TCERG1L,HIST1H2AJ
CARD11,OPRL1
PARP8,PPARG
CROCC,MFI2
SNRK,C9orf50
NMUR1,CLIP1
SPTLC3,KCNH2
APCDD1,CREB3L3
BTBD11,ITPRIPL2
DUSP5,CALD1
CALN1,LFNG
TLE3,GPRC6A
LAPTM5,CRACR2B
H2AFY2,CDH11
GTF2H5,CBLN4
CDK1,CYP4A22
KY,KLRF1
C18orf8,C10orf142
TAF2,CLDN17
RELL1,MT1G
RASA3,HSDL1
DEC1,SIGLEC8
CLLU1,ST8SIA2
INTS10,AXL
NDRG1,LRIT3
PTF1A,KRTAP2-4
ARL6IP6,FADS6
NTRK2,FHIT
KHDRBS2,SLC44A5
NCALD,ALPL
LACC1,FNDC4
PRPF40A,SPDYE2
HEG1,TNS3
SERAC1,NOXO1
ZNF236,KCNJ3
LMO7DN,IGFBP6
EFNA5,ARAP3
DCTD,NFE2L3
CHD9,PRG4
PARD6B,GLIPR1
PTPRJ,TCF4
NBEA,TEX15
TMEM178A,ABCA9
COMMD6,MRC2
MKI67IP,ASIC3
PTPRM,PSG3
TMEM135,GBX2
XRCC5,PELI1
CCDC122,CELF1
ENPP6,HAGHL
SLC24A3,PIPOX
CLNK,SLC23A2
NEDD4L,EFCAB5
ALOX5AP,TNS4
TRIM13,CD151
CYP7A1,NRXN3
SLC25A33,TFPI
DICER1,ATXN7L1
NRCAM,BCL9L
C3orf58,GAS7
UNC5B,EGR1
TMEM184C,MOB3A
GAS6,TNFSF14
ANKS6,FGL2
PRICKLE1,MAB21L3
ARHGAP24,PDGFB
OXER1,CYP1A2
PAPSS2,RIMS1
AKAP6,FGF1
TMEM18,LKAAEAR1
ID4,ARRDC2
NCOA2,LTC4S
CPVL,FHDC1
RNASEH2B,GOLGA8M
CCDC146,CNTN1
C14orf159,GJC2
ADRA1B,CORO2A
CHD7,TBX1
RPS6KA3,HIST1H2BM
HSD17B12,KLRD1
SLC22A16,RXFP2
ABCC4,MS4A5
MN1,GAPDHS
RHOU,ADGRB2
RALGPS1,ASB17
CDHR3,MS4A12
WNT7B,BHLHE23
C16orf72,CYB5R3
CRADD,MEOX1
FHL2,GRB7
ADAMTS20,LRRC26
NAP1L1,MBNL3
FAM60A,FSTL3
TGFBR1,KIAA2022
ADTRP,SMOX
MAP7,OR2A42
C4orf19,PHF3
T,MAPK8
ICE2,ADGRB1
KANK1,AKAP6
HGFAC,TTC9B
OR2S2,TGM2
ARHGAP22,EDARADD
PCNX,ITGB6
FRMD3,TLR1
MCF2L,SMCO3
ZNF860,MFGE8
PTPRC,NUP35
WASF3,CAMK2N2
UCHL1,SEMA5B
NOL10,SDC1
PTPRN2,TNIP1
STS,UTF1
GALNT12,HTR2A
DAB2,CKM
FAM105A,RAC2
ALCAM,A1CF
MVB12B,CDKL1
CACNA2D3,ALP
ZNF462,LSAMP
MKRN1,ZBED2
RASGEF1B,ADAM11
IL12A,WISP2
TMTC2,DGAT2L6
TOP2B,PALD1
ATP6IP2,ATAD1
COL28A1,FGB
PWP1,SCN3A
C1GALT1,RNF175
TRMT11,CDH19
SLC25A13,FGF17
KLF3,BPIFA1
RGPD2,CHML
PHTF2,LCN1
PJA1,BDNF
XKR4,PLPPR1
MITF,FGFBP1
KIAA0556,NKAIN4
PLEKHG1,PPARGC1A
SERPINE3,BEAN1
TACSTD2,CEACAM6
UBL3,SLC43A3
GABRR3,VAMP5
SAP30,GLUD2
SLC24A2,DEFB104B
RGS10,MIF4GD
IGFBPL1,OSBPL6
MLIP,KCNH4
SPHAR,ABCA10
SEC22B,CST2
MOB3B,HBQ1
OSBPL10,RNF212B
PUM3,ADGRL3
PLEKHA5,OLFM3
SDC1,CYP1B1
UVRAG,NR3C1
HTATIP2,GPR87
MYBPH,ECEL1
IFNK,RASSF6
NAPG,EPHA6
CTSH,GRIK1
RAB38,CLEC1B
RBM34,SELE
SGCG,BNC1
PFDN1,CATSPER3
WLS,GOLGA8N
CCND2,FGF8
GALNT1,DIRAS1
ME3,KLHL34
PHOX2B,EGF
MAML3,PRR15L
KIF16B,ANKRD28
UTS2B,DNER
NCK2,CPNE4
UCHL3,TRIM29
MSN,POU1F1
RICTOR,ARNTL
GRK5,SMAD9
CCDC50,MFAP2
GTF3C1,GFOD2
CLEC16A,SYNGR3
LSG1,PRSS27
GXYLT2,CCDC12
UPF3A,LPAR1
RGAG4,ANXA1
ST8SIA5,POU2F3
C12orf74,KRTAP21-2
SEMA5A,UBASH3A
ASAP2,SLC25A47
MYSM1,FGF19
DDX10,RCAN1
LMO7,PLPPR3
RAB27A,PDE4C
LONRF1,AIFM3
LLPH,AMER1
GRAP2,SYNC
CCDC82,PHACTR3
ITGB1BP1,FAM19A4
ISL1,SLC14A1
GPD1L,CCDC68
CGNL1,AVP
MAP4K4,APOD
BCAS1,AMICA1
CASZ1,HIF1A
DEF6,EHBP1L1
IYD,SAMD4A
MAPK10,ARSE
ADAM30,STBD1
SMYD3,NODAL
SNX25,DNMT3L
PGM2,GNAI1
NT5DC3,SLC18A2
NDE1,TP63
CYP19A1,FAM133B
XXYLT1,SLC13A4
STEAP4,KCNJ4
NSMCE2,GULP1
BMP4,APOC4-APOC2
CSF2,ADAT2
ALDH1B1,VSTM2B
