PromEnh,PromOnly
SLC6A6,TEX28
ZFHX4,CCDC50
CAPG,ARHGAP4
ASXL3,ZSCAN10
CPEB4,PF4
UGT8,ST6GALNAC5
PAX7,PIPOX
ELAVL2,SLC1A6
TBX3,ELMO1
DENND1A,SLC22A15
RARS,GRHL2
MATN1,ACTA2
TCF4,RSPH6A
UACA,MAP2
MBP,EPB41L3
THBS4,SSH3
PARVA,LIMA1
ZDHHC21,SUN2
CPPED1,PPP2R5C
FBXL22,C6orf120
MKKS,TBX6
BARX2,CELF2
SCOC,CLEC7A
SPATA8,RHBDF2
BMPR1B,PCDH9
EMID1,TRIM22
NNMT,FERMT1
ATP5G2,ADAM28
IQSEC1,KREMEN2
MUSTN1,ETS1
GRASP,ATP11C
SC5DL,C1orf210
RELT,ARSJ
GOT2,SEMA6D
PPP4R2,UCMA
ENC1,HIST2H2AA4
SNTB1,IP6K3
GPRIN2,USP10
UPF3A,MBTPS2
DHCR7,NCOA7
VIPR2,S100A13
C8orf74,TAF4B
VASH1,S100A10
RAN,GPRC5B
PDSS2,BDNF
ZFAT,ANK3
WNT5A,SPP1
ITGB6,MRPL21
CMTM7,OPN1MW2
SETD3,PDGFRB
RPIA,KPNA2
CD19,GJA1
LACTBL1,ECE1
SEMA3A,PAQR5
AFAP1,TRIM9
ATP6V1B2,PNOC
GPR26,ZNF214
AFAP1L2,RTN4IP1
WDR49,ZFP42
CHST15,C16orf45
EZR,NLN
EGFL8,BAAT
ZNF438,KCNIP3
TLDC1,CALN1
MED30,FAM127C
USP10,CALHM2
GCOM1,MAGED1
NCAPG2,CYLC1
MAP7,FLT1
MTX3,PHC2
IP6K3,PAQR6
LAPTM5,ACPP
FOXD3,RBM38
PPARGC1B,RND1
MRC2,GAS8
FANCL,IP6K2
CARD11,PLN
COL2A1,MAGED4B
NRP1,FXYD7
RAVER2,MAP7
TSN,TMC3
CKLFSF7,GPM6B
MKI67,KIAA1217
CCND2,ZCCHC18
DPP6,PIK3R1
ZMYND8,AGPAT2
PARVG,ZNF823
ACSM6,CANT1
PDE4B,MYT1L
ST6GALNAC5,PCDHGC3
LRRC74A,TCAF2
TMEM132D,TRIM6-TRIM34
TAX1BP1,ELAVL4
TMEM132B,TNKS1BP1
NTMT1,LDOC1
C1orf105,TMEFF2
FANCC,RFFL
TNFSF11,GOT2
TMEM201,TTC27
HTR1B,MGST2
ERCC6L2,ITIH3
TMEM64,CYB561
SMAD3,CYTH1
ECHDC3,NCKAP1L
SRC,TCHP
RLBP1,MYL4
ZCCHC13,FBLN7
MKI67IP,JAGN1
H2AFY2,TRIM38
LRRC8C,CPEB4
SAP130,BTK
DRD3,SERBP1
OSR1,C1orf116
DCUN1D1,KAZN
PRR34,NR4A1
PSD3,TMEM181
RIPK1,USP44
FAM102A,SIRPA
CLDN9,HCN4
ELF1,SLC10A2
ELMO1,COL13A1
ADAM12,ADGRL2
DPF3,CADM1
ILDR2,ERGIC1
GPRC5B,HRH2
KLF7,ZNF583
INHBA,GPR160
DPYSL2,IGHMBP2
EMX2,UGT2B10
TCERG1L,RP1L1
ZNF648,MRPS33
LITAF,ZNF474
