PromEnh,PromOnly
SPDYE2B,PBXIP1
CKMT1A,MBOAT7
GNAI1,TTYH3
OSBPL5,FOSL2
SIK1,TSC22D3
KSR1,CBX4
SSBP3,PROK2
EGR2,NME4
ARHGEF5,ACKR1
EPHA4,ZNF235
CD2,GSN
DGCR6,CCR3
HHLA2,EIF4ENIF1
BZRP,TMEM134
PRRC1,SPANXN1
CEP192,EYA4
NAALADL2,NKX1-1
PGRMC2,APOBEC3F
NCOA2,DIP2A
CCM2,VPS28
ADTRP,RPTOR
CFHR2,TMEM187
CTAG1B,CASP9
C2orf78,CYP2J2
GOLGA6B,HTRA3
TPSAB1,CTCFL
SACM1L,SH2B2
EIF3CL,ARIH2OS
GPR157,ZNF112
NTSR2,PTP4A3
NPIPB6,UHRF1BP1
C8orf22,ACTN3
FAAP20,ZNF550
SIRPA,BSDC1
AAK1,PRKRA
ARHGAP18,GNAS
ALG1L,ATXN2L
BTBD3,TIGD3
GRB10,OGFR
DNMT3A,PARP6
ARHGEF3,TUBB
EIF3C,XKR7
FAM171A1,SLC26A6
NPIPB9,STUB1
ACVR1,HNRNPM
DPH3,ZNF790
CCL1,ATXN7L3
TPSB2,ZNF598
CTAG1A,CES2
CKLFSF7,NEFM
ASPH,KCNC2
MORN3,ANKRD13B
USP7,ZNF469
DZIP1,LPAR5
VCX2,ZC3H7A
ADGRA2,CYP2C9
STK40,LRRFIP1
CRIM1,ZNF671
RANBP9,PRB2
POTEJ,DGKD
WDR72,FBXL3
NUDT1,KRTAP4-6
CMTM4,SPG20
RGPD6,TMEM123
FAM156B,MAT2A
PWP2,KDELR2
KRT80,TMEM50A
COX4I1,SLITRK1
POTEB3,RASA4B
LRRC37A3,RCSD1
FAM156A,ZNF735
NPIPA5,C10orf67
C10orf105,RNF135
KIAA0556,HRASLS2
SNX29,SPANXB1
LPAR6,GNL1
RIOK2,MTCL1
BAALC,AKT1S1
FAM129A,ANGEL2
PPP1R15B,LITAF
CFC1,ZNF709
LEP,BEST1
PHF1,VPS54
PGAP1,CALCOCO2
GHSR,TEC
TRIM16L,MOXD1
RGPD5,CSNK2A2
CGB,PREB
GPAT2,SAFB
AQP7,PIK3R2
NAA11,APOBEC3D
OR2A1,ZNF382
KATNAL2,HECTD1
