PromEnh,PromOnly
GATA6,ABCD3
WDR11,F3
PPP1CB,SLC44A3
CFAP221,CNN3
VDR,ALG14
MAFA,TMEM56
MAVS,TMEM56-RWDD3
IL12A,RWDD3
KIAA1217,PTBP2
CLEC18B,DPYD
ARAP3,SNX7
AOAH,PLPPR5
ADGRV1,PLPPR4
HIVEP3,PALMD
CFAP20,FRRS1
CYFIP1,AGL
BOD1L1,SLC35A3
CPPED1,HIAT1
SHQ1,SASS6
SMOC2,TRMT13
MPI,LRRC39
CLVS1,DBT
ANK2,RTCA
CLUH,CDC14A
RAI14,GPR88
RABL2B,VCAM1
ZBTB38,EXTL2
C8orf46,SLC30A7
SMO,DPH5
CDK17,S1PR1
CMTM7,OLFM3
C8orf86,COL11A1
MGST2,RNPC3
FTH1,AMY2B
ZBTB7C,AMY2A
LRRC37A3,AMY1A
MEX3C,AMY1B
DOCK9,AMY1C
THADA,PRMT6
KCTD7,NTNG1
OXER1,VAV3
PSTPIP2,SLC25A24
CNOT11,NBPF4
LCMT1,NBPF6
SORBS1,FAM102B
SCIN,HENMT1
TBXAS1,PRPF38B
APOBEC3A,STXBP3
HELT,AKNAD1
AKAP11,GPSM2
NTPCR,CLCC1
FAM110B,WDR47
BAZ2A,TAF13
MXI1,TMEM167B
KRBOX4,C1orf194
MAML2,KIAA1324
LATS2,SARS
ATP13A2,CELSR2
DACH1,PSRC1
CLDN10,MYBPHL
HRH4,SORT1
ATP5O,PSMA5
ATAD2B,SYPL2
TIGD2,ATXN7L2
MAP1B,CYB561D1
DSCAML1,AMIGO1
CCR1,GPR61
ALDH8A1,GNAI3
LRRN3,GNAT2
SALL4,AMPD2
TNS1,GSTM4
SLX4IP,GSTM2
EML4,GSTM1
PHF2,GSTM5
SMIM18,GSTM3
IVNS1ABP,EPS8L3
ZBTB43,CSF1
TP63,AHCYL1
IFFO2,STRIP1
RBM28,ALX3
CDADC1,UBL4B
SCYL1,SLC6A17
BICD2,KCNC4
STK32A,SLC16A4
CXCR4,HBXIP
MPV17,LAMTOR5
MAGEA9B,PROK1
MED26,KCNA2
MAP4,KCNA3
TRAM2,CD53
CASZ1,LRIF1
NIPAL2,CEPT1
STON1,DRAM2
CC2D2A,DENND2D
CA12,CHI3L2
MYO7A,CHIA
ADGRG1,PIFO
ZDHHC22,OVGP1
BHLHE40,ATP5F1
CABP4,MEP50
MLLT3,C1orf162
ANKRD50,ADORA3
SLC44A1,TMIGD3
ROS1,RAP1A
IL1RAP,FAM212B
CHAMP1,DDX20
LARGE,KCND3
RGS10,CTTNBP2NL
CAPRIN1,WNT2B
TGFBRAP1,ST7L
RGCC,CAPZA1
IRG1,MOV10
C11orf58,RHOC
SLC5A3,PPM1J
H19,SLC16A1
SOX1,LRIG2
ARID2,MAGI3
OBFC1,PHTF1
RPL6,RSBN1
GRK5,PTPN22
USP7,BCL2L15
SLCO5A1,AP4B1
SEC61G,DCLRE1B
DEPTOR,HIPK1
NOTCH2,HNOEL
NPVF,SYT6
DOCK11,TRIM33
BPGM,BCAS2
MTMR1,DENND2C
GGACT,AMPD1
RAB31,NRAS
PINX1,CSDE1
ARID5B,D1S155E
HAS2,SIKE1
C18orf8,SYCP1
